dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
2041,2,41,USA,HAI,United States,Haiti,13,12,1983,,,,0,288,3,.85000002,5,-9,0,,16.23702,,0,0,1,-.39726031,10.07659,1,.51860058,.2699858,1,0,Not in Force,1,0,288,0
2051,2,51,USA,JAM,United States,Jamaica,4,2,1994,7,3,1997,1,37,3,.85000002,4,9,.33000001,3,16.79739,10.08001,1,0,1,-.2083333,10.13093,1,2.611362,1.037542,0,1,In Force,1,1,37,0
2052,2,52,USA,TRI,United States,Trinidad and Tobago,26,9,1994,26,12,1996,1,27,3,.86000001,4,9,.5,4,16.307631,12.00203,1,0,1,-.1923077,10.07113,1,10.53114,1.037542,0,1,In Force,1,1,27,0
2055,2,55,USA,GRN,United States,Grenada,2,5,1986,3,3,1989,1,34,3,.85000002,5,,0,,13.25733,17.82641,1,0,1,-.48453611,10.04078,1,3.1108711,.44121429,1,0,In Force,1,1,34,0
2091,2,91,USA,HON,United States,Honduras,1,7,1995,11,7,2001,1,72,3,.85000002,5,6,.33000001,3,16.61352,9.3182602,0,0,1,-.33333331,10.33301,1,1.468948,1.246325,0,1,In Force,1,1,72,0
2092,2,92,USA,SAL,United States,El Salvador,10,3,1999,,,,0,105,3,.85000002,5,7,.63999999,3,17.25161,10.01995,0,0,1,-.33333331,10.39887,1,1.731289,2.2568791,0,1,Not in Force,1,0,105,0
2093,2,93,USA,NIC,United States,Nicaragua,1,7,1995,,,,0,149,3,.85000002,5,8,.5,4,15.91273,10.61017,0,0,1,-.36842099,10.36823,1,2.186635,1.246325,0,1,Not in Force,1,0,149,0
2095,2,95,USA,PAN,United States,Panama,27,10,1982,30,5,1991,1,103,3,.85000002,5,-5,,,16.291719,17.60334,0,0,1,-.66355139,9.8532066,1,7.584095,.033202201,1,0,In Force,1,1,103,0
2130,2,130,USA,ECU,United States,Ecuador,27,8,1993,11,5,1997,1,45,3,.85000002,5,9,.47999999,4,17.802361,11.73619,0,0,1,-.4666667,10.21157,1,3.146302,1.16266,0,1,In Force,1,1,45,0
2145,2,145,USA,BOL,United States,Bolivia,17,4,1998,6,6,2001,1,38,3,.85000002,5,9,.72000003,3,17.04567,14.21887,0,0,1,-.41666669,10.42593,1,12.07474,1.496771,0,1,In Force,1,1,38,0
2160,2,160,USA,ARG,United States,Argentina,14,11,1991,20,10,1994,1,35,3,.85000002,5,7,0,3,19.32761,3.3217609,0,0,1,-.2903226,10.0732,1,1.285652,.54661602,0,0,In Force,1,1,35,0
2165,2,165,USA,URU,United States,Uruguay,4,11,2005,1,11,2006,1,12,3,.85000002,4,10,.86000001,3,17.185801,10.93546,0,0,,-.66101688,10.42306,1,4.8805342,.1234432,0,1,In Force,1,1,12,0
2290,2,290,USA,POL,United States,Poland,21,3,1990,6,8,1994,1,53,3,.85000002,5,5,.30000001,4,19.49333,17.00132,0,0,1,-.0625,10.0845,1,.13632929,.53514242,0,1,In Force,1,1,53,0
2315,2,315,USA,CZE,United States,Czechoslovakia,22,10,1991,19,12,1992,1,14,3,.87,5,8,0,5,18.78133,,0,0,1,.0588235,9.751133,1,1.562387,.54661602,0,0,In Force,1,1,14,0
2339,2,339,USA,ALB,United States,Albania,11,1,1995,4,1,1998,1,36,3,.85000002,5,5,.31,5,15.97347,13.64613,0,0,1,-.125,10.34011,1,2.8257871,1.246325,0,1,In Force,1,1,36,0
2344,2,344,USA,CRO,United States,Croatia,13,7,1996,20,6,2001,1,59,3,.85000002,5,-5,.56,,17.457769,14.95691,0,0,0,.27659571,10.16754,1,2.1107099,1.0809309,0,1,In Force,1,1,59,0
2355,2,355,USA,BUL,United States,Bulgaria,23,9,1992,2,6,1994,1,21,3,.85000002,5,8,.5,5,17.763491,16.73984,0,0,1,.1891892,10.15596,1,.48232281,.67439711,0,0,In Force,1,1,21,0
2359,2,359,USA,MLD,United States,Moldova,21,4,1993,26,11,1994,1,19,3,.85000002,4,7,0,,16.053221,15.92532,0,0,1,.2857143,10.31289,1,.56287301,1.16266,0,1,In Force,1,1,19,0
2360,2,360,USA,ROM,United States,Romania,28,5,1992,15,1,1994,1,20,3,.85000002,5,5,.5,4,18.641939,14.28216,0,0,1,.2105263,10.1757,1,.39055371,.67439711,0,0,In Force,1,1,20,0
2365,2,365,USA,RUS,United States,Russia,17,6,1992,,,,0,186,3,.85000002,5,6,.5,4,21.198561,13.85744,0,0,1,.085714303,9.9470901,1,.2369622,.67439711,0,0,Not in Force,1,0,186,0
2366,2,366,USA,EST,United States,Estonia,19,4,1994,16,2,1997,1,34,3,.85000002,4,6,.5,,16.152571,15.62522,0,0,1,.3125,10.17161,1,4.5412288,1.037542,0,1,In Force,1,1,34,0
2367,2,367,USA,LAT,United States,Latvia,13,1,1995,26,12,1996,1,23,3,.85000002,5,8,.46000001,,16.5487,15.32626,0,0,1,.58823532,10.2222,1,3.623739,1.246325,0,1,In Force,1,1,23,0
2368,2,368,USA,LIT,United States,Lithuania,14,1,1998,22,12,2001,1,46,3,.85000002,5,10,.72000003,,17.277929,14.25482,0,0,1,.15000001,10.24809,1,8.2821407,1.496771,0,1,In Force,1,1,46,0
2369,2,369,USA,UKR,United States,Ukraine,4,3,1994,16,11,1996,1,32,3,.85000002,4,7,.5,,19.27668,15.62522,0,0,1,.1111111,10.26274,1,.29321849,1.037542,0,1,In Force,1,1,32,0
2370,2,370,USA,BLR,United States,Belarus,15,1,1994,,,,0,167,3,.85000002,4,7,.14,,17.71855,15.62522,0,0,1,0,10.25286,1,.069300301,1.037542,0,1,Not in Force,1,0,167,0
2371,2,371,USA,ARM,United States,Armenia,23,9,1992,29,3,1996,1,42,3,.85000002,5,7,.5,,22.82144,16.73984,0,0,1,.090909101,,1,.2042737,.67439711,0,0,In Force,1,1,42,0
2372,2,372,USA,GRG,United States,Georgia,7,3,1994,10,8,1999,1,65,3,.85000002,4,4,0,,16.12179,9.8304329,0,0,1,.5,10.34956,1,.30998111,1.037542,0,1,In Force,1,1,65,0
2373,2,373,USA,AZE,United States,Azerbaijan,1,8,1997,2,8,2001,1,48,3,.85000002,5,-6,.36000001,,16.61834,12.61256,0,0,1,-.25,10.42396,1,26.52475,1.153151,0,1,In Force,1,1,48,0
2433,2,433,USA,SEN,United States,Senegal,6,12,1983,25,10,1990,1,82,3,.85000002,5,-1,0,,15.86367,17.49316,0,0,0,-.592233,10.1114,1,-1.285129,.2699858,1,1,In Force,1,1,82,0
2471,2,471,USA,CAO,United States,Cameroon,26,2,1986,6,4,1989,1,38,3,.85000002,5,-8,0,3,17.120399,11.3366,1,0,0,-.55789483,10.18631,1,-.87934852,.44121429,1,0,In Force,1,1,38,0
2484,2,484,USA,CON,United States,Congo,15,2,1990,13,8,1994,1,54,3,.85000002,5,-8,.40000001,2,15.52429,13.84514,0,0,0,-.6825397,10.28192,1,.80577368,.53514242,0,1,In Force,1,1,54,0
2490,2,490,USA,DRC,United States,Congo DR,3,8,1984,28,7,1989,1,59,3,.85000002,5,-9,0,1,17.08383,6.557775,0,0,0,-.66666669,10.19188,1,-1.17539,.33253551,1,0,In Force,1,1,59,0
2541,2,541,USA,MZM,United States,Mozambique,1,12,1998,3,3,2005,1,75,3,.85000002,5,6,0,3,15.81982,7.6551089,0,0,0,-.53488368,10.50532,1,5.4318771,1.496771,0,1,In Force,1,1,75,0
2600,2,600,USA,MOR,United States,Morocco,22,7,1985,29,5,1991,1,66,3,.85000002,5,-8,0,2,17.66066,15.8424,0,0,0,-.63106787,10.17607,1,.13892999,.3180449,1,0,In Force,1,1,66,0
2616,2,616,USA,TUN,United States,Tunisia,15,5,1990,7,2,1993,1,33,3,.85000002,5,-5,.40000001,2,17.131109,16.356779,0,0,0,-.66666669,10.25001,1,.72031951,.53514242,0,1,In Force,1,1,33,0
2640,2,640,USA,TUR,United States,Turkey,2,12,1985,18,5,1990,1,53,3,.85000002,5,7,0,3,19.532471,7.5155931,0,0,1,-.20408159,10.01874,1,.1095387,.3180449,1,0,In Force,1,1,53,0
2651,2,651,USA,EGY,United States,Egypt,11,3,1986,27,6,1992,1,75,3,.85000002,5,-6,0,3,18.688919,16.52936,0,0,0,-.61818182,10.1883,1,4.4025602,.44121429,1,0,In Force,1,1,75,0
2663,2,663,USA,JOR,United States,Jordan,2,7,1997,12,6,2003,1,71,3,.85000002,5,-2,.5,4,16.63242,14.53781,0,0,0,-.4285714,10.37319,1,4.9811401,1.153151,0,1,In Force,1,1,71,0
2692,2,692,USA,BAH,United States,Bahrain,29,9,1999,30,5,2001,1,20,3,.85000002,5,-9,.5,5,16.364811,14.32152,0,0,0,-.49019611,9.8087645,1,6.8103089,2.2568791,0,1,In Force,1,1,20,0
2703,2,703,USA,KYR,United States,Kyrgyzstan,19,1,1993,11,1,1994,1,12,3,.85000002,4,-3,0,,15.87306,16.17734,0,0,0,0,10.32496,1,.52784038,1.16266,0,1,In Force,1,1,12,0
